AAPL
MSFT
AMZN
NVDA
GOOGL
META
BRK.B
JPM
JNJ
V
TSLA
AVGO
LLY
WMT
XOM
MA
UNH
NFLX
COST
ORCL
PG
HD
ABBV
BAC
TMUS
KO
CVX
CRM
CSCO
PM
WFC
IBM
ABT
MCD
MRK
GE
LIN
PLTR
PEP
T
TMO
ACN
MS
AXP
VZ
ISRG
DIS
GS
RTX
BX
QCOM
AMD
INTU
NOW
ADBE
TXN
AMGN
CAT
PGR
SPGI
BKNG
UBER
DHR
BLK
BSX
SCHW
NEE
UNP
PFE
CMCSA
SYK
HON
GILD
TJX
C
BA
DE
LOW
COP
VRTX
ADP
FI
AMAT
BMY
MMC
CB
PANW
MDT
SBUX
ETN
PLD
KKR
LMT
ADI
INTC
MU
ICE
ANET
AMT
SO
MO
ELV
NKE
LRCX
WELL
CME
UPS
KLAC
WM
CRWD
DUK
CI
MDLZ
SHW
AJG
AON
CVS
MCO
GEV
HCA
CTAS
MCK
APH
ORLY
DASH
APO
PH
MMM
EQIX
ABNB
TT
TDG
FTNT
CL
RSG
NOC
ITW
ZTS
GD
WMB
MSI
CDNS
ECL
EOG
SNPS
PNC
CMG
PYPL
REGN
COF
USB
DELL
MAR
CEG
APD
BDX
WDAY
AZO
ROP
EMR
SPG
KMI
CHTR
BK
AFL
TRV
OKE
RCL
FDX
ADSK
FCX
SLB
MNST
CARR
MET
CSX
AEP
HLT
ALL
PAYX
JCI
NEM
TFC
CPRT
HWM
NSC
COR
PCAR
PSA
NXPI
PSX
O
AIG
DLR
TGT
HES
AMP
GWW
GM
KMB
KDP
OXY
FANG
D
FICO
MPC
SRE
KVUE
CCI
CMI
EXC
FAST
NDAQ
TEL
MSCI
YUM
KR
TRGP
BKR
CTVA
ROST
URI
AXON
EW
VRSK
VLO
GRMN
LULU
DFS
DHI
OTIS
AME
PRU
VST
PEG
LHX
GLW
XEL
FIS
F
CBRE
CTSH
EA
TTWO
PWR
PCG
GEHC
ED
SYY
ODFL
ACGL
ETR
KHC
BRO
HIG
HSY
IDXX
A
WTW
VICI
WEC
STZ
CSGP
CAH
IR
IT
GIS
RMD
HUM
EXR
WAB
DD
IQV
VMC
EBAY
LEN
EQT
TPL
AVB
ROK
EFX
VTR
XYL
DAL
LYV
CNC
MTB
MLM
NUE
RJF
TSCO
LVS
MPWR
IP
K
CCL
ANSS
DTE
BR
EQR
AWK
MCHP
DXCM
WBD
HPQ
KEYS
CHD
AEE
FITB
STT
TKO
ROL
GDDY
PPL
EXE
FTV
IRM
WRB
MTD
CPAY
TYL
FOXA
DOW
DOV
DRI
GPN
PPG
UAL
VLTO
EL
FOX
VRSN
ATO
DVN
TDY
SW
SBAC
CNP
ADM
CBOE
CINF
LYB
FE
ZBH
TSN
ES
WAT
EIX
STE
HBAN
MKC
HAL
NVR
EXPE
ERIE
CMS
CTRA
CDW
WY
PHM
TROW
SYF
INVH
HPE
SMCI
BIIB
LII
ESS
LUV
IFF
RF
MAA
NTRS
LH
L
PTC
STLD
DG
PFG
NRG
NI
ON
NTAP
STX
PODD
DGX
HUBB
CFG
CLX
KEY
DECK
MOH
PKG
SNA
LDOS
ULTA
BAX
FDS
COO
GEN
GPC
TRMB
HRL
ARE
EXPD
DLTR
WST
BF.B
NWS
LNT
DPZ
UDR
BBY
OMC
EG
FFIV
EVRG
NWSA
JBL
TPR
J
JBHT
MAS
ZBRA
BALL
WDC
PNR
BLDR
DOC
APTV
KIM
HOLX
RL
AMCR
AVY
TER
IEX
TXT
FSLR
CPT
REG
CF
JKHY
SOLV
RVTY
CAG
PAYC
MRNA
SJM
TAP
AKAM
DVA
UHS
POOL
ALGN
BXP
JNPR
SWK
CHRW
KMX
CPB
NDSN
INCY
ALLE
PNW
GL
SWKS
AIZ
LKQ
VTRS
BEN
HST
BG
EMN
EPAM
IPG
WBA
AOS
TECH
DAY
WYNN
MGM
AES
NCLH
ALB
MOS
HSIC
HAS
FRT
MKTX
CRL
ENPH
MTCH
HII
GNRC
PARA
LW
APA
MHK
IVZ
TFX
BWA
CZR
FMC 
